19719,15203,12309,10076,8480,7153,6442,11418,10703,6502,3795,1829,1188,989,987,107,114,37,53,58,122,1,2,0,1,0,1,0,2,11
3251,2242,1903,1504,1350,1112,1024,1429,1905,1296,784,278,147,85,93,39,21,8,8,12,10,0,0,0,0,1,0,1,0,4
3417,2694,2255,2045,1725,1573,1377,1166,1001,1024,1396,1880,1561,1114,844,395,283,239,169,155,296,214,10,19,22,8,2,4,8,29
20291,16326,14286,12328,9977,8448,7716,14235,11772,8199,5505,2561,1428,1002,874,277,223,89,86,92,159,0,0,2,1,0,0,0,3,31
64528,46467,36661,28053,21073,16088,13285,17778,20591,18815,12095,7489,5267,4494,6674,427,423,226,270,358,617,2,1,2,0,1,0,0,2,26
4363,5231,5094,4463,3942,3849,3863,7668,3584,1307,487,244,143,151,95,25,22,17,16,12,19,1,0,0,0,1,1,0,0,3
3520,2645,1896,1456,1113,839,731,1140,1449,1011,770,408,241,242,284,30,16,11,18,9,30,0,0,0,0,0,0,0,0,7
5965,4600,3658,2641,2121,1736,1371,2150,2313,1687,1304,546,496,452,677,35,16,25,10,10,20,0,0,1,0,1,0,0,0,4
4225,3089,2614,2105,1748,1583,1411,1193,1189,1102,2452,2022,1300,982,1066,368,242,277,307,239,494,554,22,44,11,4,0,18,2,40
4145,3671,2979,2679,2414,2297,2359,4875,2626,1216,917,291,136,119,114,14,17,10,2,0,18,0,0,1,0,0,0,0,0,2
2558,2058,2079,1997,2190,2021,1968,2648,4751,1605,496,199,115,41,82,25,29,8,8,2,2,0,24,0,0,0,0,0,0,1
11686,10449,9534,8493,7795,7433,7002,6056,5653,4785,9154,12254,8792,5334,3290,983,507,249,145,96,39,22,9,6,0,2,1,0,5,4
66906,57270,50118,42645,37544,32232,26581,48974,38520,23254,14364,7954,5409,4021,2572,703,676,318,367,299,587,6,0,5,2,5,1,6,7,119
2478,2104,1837,1664,1547,1436,1327,1166,989,995,2076,2257,1310,686,351,192,139,96,60,106,332,50,10,12,10,8,4,16,14,6
3850,2660,2172,1822,1456,1195,1171,2302,2853,1688,646,191,66,26,29,7,5,2,2,0,8,0,0,0,0,0,0,0,0,1
36950,36052,34439,31787,28017,23939,20304,39314,33672,14767,5507,2391,1152,877,409,83,83,29,19,8,52,0,0,1,0,0,0,0,2,18
2546,1903,1749,1615,1503,1416,1246,1162,1094,919,1485,2014,1658,988,656,301,254,164,124,61,78,45,23,5,2,9,4,3,0,20
9931,10426,10242,9419,7956,6967,6166,12063,8639,4143,1659,778,405,204,151,52,35,15,6,13,43,2,0,0,0,1,0,0,2,10
254766,305665,318731,316218,304498,259933,208179,429274,315070,83014,24523,12343,7797,7740,5655,662,602,216,224,290,567,4,2,2,0,1,2,5,3,74
