4537,4347,4490,4223,3785,3014,2368,3761,4212,2327,757,337,114,39,17,10,13,4,4,0,8,0,0,0,0,0,0,0,0,1
3167,3415,3487,3330,3120,3068,2753,5648,3020,934,351,149,87,23,42,13,30,0,2,0,17,1,0,0,0,0,0,0,0,2
2647,2006,1951,1705,1388,1140,1064,1536,1600,1489,699,303,127,81,30,30,56,8,2,6,18,1,0,0,0,0,0,0,0,2
4191,5325,5649,5755,5490,4721,3593,6759,5187,1913,589,215,68,54,22,8,12,3,1,0,2,0,0,0,0,0,0,0,0,3
2157,2310,2097,2024,1933,1938,1915,4247,1775,552,166,98,70,22,12,5,16,0,4,0,2,0,0,0,0,0,0,0,0,2
44642,51247,52039,48130,42636,34259,25092,44044,38526,16062,7407,4461,3020,2722,2734,426,391,267,414,325,605,1,0,5,1,3,0,6,4,61
2708,2447,2467,1958,1781,1361,1056,1375,1292,1116,582,358,218,183,94,30,39,12,12,11,23,0,1,0,0,1,0,1,0,5
2344,1980,1936,1872,1826,1784,1603,2910,1347,891,484,225,145,138,60,20,26,8,0,4,16,0,0,1,0,0,0,0,0,3
2684,2431,2251,2305,1858,1659,1179,1744,2407,1429,496,256,126,65,31,5,15,4,8,0,12,0,0,0,0,0,0,0,0,3
213579,267300,284987,283721,276018,251426,221924,488327,266164,59319,14193,4037,1906,1033,1171,116,198,43,49,132,411,2,2,2,0,3,0,2,1,11
2745,2307,2409,2319,2194,1961,1585,3042,1909,823,410,150,171,107,73,21,36,13,14,12,13,0,0,1,0,0,0,0,1,3
6152,5799,6768,6914,6130,4612,3118,4703,7002,3164,1170,431,198,108,129,35,34,15,16,19,32,0,0,1,0,0,0,1,0,6
2114,2247,2194,2208,2082,1863,1632,3186,1744,795,327,163,73,65,44,25,16,11,2,10,12,3,0,0,0,0,0,0,1,1
6107,7147,7797,8586,8605,8530,8227,7797,7232,6338,12572,12636,7154,2246,669,217,73,40,7,14,7,11,0,0,0,0,0,0,0,4
2013,1748,1723,1626,1473,1360,1198,1652,2184,1111,587,336,179,120,37,29,7,5,12,2,3,0,14,0,0,0,0,0,0,1
2381,2539,2660,2588,2251,2129,1688,1391,2066,2455,1242,730,429,283,196,149,111,22,7,2,5,1,1,0,0,0,0,0,0,1
2767,2617,2715,2515,2396,2071,1704,3168,2195,988,387,238,151,77,82,14,20,6,4,4,16,0,0,0,0,1,0,0,0,3
47084,56111,59717,55368,47176,35829,25490,36378,45420,25731,10494,4081,2091,1325,734,107,145,56,35,50,95,1,1,0,0,1,0,2,0,17
2471,2382,2616,2717,2676,2627,2234,5079,2693,520,123,27,8,7,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1
2587,2635,2958,2959,2679,2082,1734,2818,2790,1230,415,174,72,44,20,19,3,2,2,4,0,0,0,0,0,0,0,0,1,2
28349,30241,32614,32342,30495,25394,21123,42478,33908,11473,2821,1063,453,401,206,113,155,67,86,48,107,3,1,1,0,0,0,1,2,17
23379,25101,25069,23364,22210,19217,16210,31668,19173,7967,3751,2269,1389,809,449,204,206,50,40,37,114,0,0,4,2,1,0,0,0,35
1913,1926,2098,2277,2343,2072,1793,1512,1224,940,1250,1925,1991,1460,629,279,105,53,22,25,4,0,3,0,0,0,0,0,0,2
2096,2036,2056,2190,1885,1560,1229,2272,2099,887,224,76,48,19,38,19,17,4,40,12,26,1,1,0,0,0,0,0,1,3
1822,2203,2235,2432,2249,1911,1622,3168,2015,811,184,146,63,15,25,2,5,5,3,1,5,0,0,0,0,0,0,1,0,1
2508,2137,2131,1941,1693,1466,1230,1831,1850,1092,456,183,149,97,53,23,18,4,8,2,10,0,0,0,0,0,0,0,0,3
171209,140412,136038,130567,123780,112987,102699,202015,129512,62229,27784,13465,6961,4803,2862,1084,1153,349,303,268,1003,5,4,9,3,2,1,11,6,195
1371,1907,2106,2048,2050,2164,1939,3657,1429,410,192,113,67,57,25,17,27,4,1,0,15,1,0,0,0,0,0,1,0,5
284739,294442,303941,301710,295514,269357,241512,499590,295059,95800,28916,10609,5916,4034,2296,871,946,238,179,130,820,5,3,14,5,3,5,17,6,185
1879,2133,2279,2272,2104,1949,1591,1369,1136,907,1259,1636,1423,904,622,390,232,171,122,88,59,12,11,13,6,13,3,8,8,22
2322,2106,2078,2010,1889,1718,1487,2392,2140,1056,319,160,35,62,13,6,25,8,3,2,4,0,0,0,0,0,0,0,0,2
149250,160106,166142,162098,154836,141944,131881,282370,145389,51370,15968,5851,2738,1613,743,248,231,64,56,45,195,1,4,4,1,1,1,4,2,39
